"# Per-task TravelPlanner constraint-satisfaction rate in [0,1] = (commonsense_micro_pass + hard_micro_pass)/2."
# Lower section: per-stratum (days x level) mean. Bottom: TOTAL = mean over 100 tasks.
task_id,days,level,react_injected,codeact_injected,atlas_injected,sca
4,3,easy,0.0000,0.1250,0.6250,0.9375
14,3,easy,0.1250,0.1875,0.0625,0.3750
15,3,easy,0.1875,0.3750,0.7500,0.8125
18,3,easy,0.0625,0.0625,0.0625,0.3750
29,3,easy,0.0625,0.2500,0.0625,0.3125
32,3,easy,0.8750,0.8125,0.4375,1.0000
36,3,easy,0.0000,0.1250,0.0625,0.7500
70,3,easy,0.0625,0.3125,0.0625,0.1250
82,3,easy,0.0625,0.1250,0.3125,0.0625
87,3,easy,0.1250,0.0000,0.3750,0.2500
95,3,easy,0.1250,0.3750,0.8125,0.5625
115,3,easy,0.8750,0.6875,0.6875,1.0000
134,5,easy,0.4375,0.1250,0.1250,0.3125
136,5,easy,0.0000,0.0000,0.0000,0.1250
142,5,easy,0.0625,0.3750,0.2500,0.5000
143,5,easy,0.0625,0.0000,0.0000,0.0000
150,5,easy,0.2500,0.3750,0.6875,0.5625
158,5,easy,0.0000,0.0000,0.0000,0.1875
166,5,easy,0.0000,0.0000,0.0000,0.0625
171,5,easy,0.0625,0.0625,0.0625,0.0000
177,5,easy,0.3125,0.2500,0.3125,0.1250
212,5,easy,0.0625,0.0000,0.0625,0.1875
220,5,easy,0.0000,0.2500,0.6875,0.9375
226,5,easy,0.9375,0.8125,0.4375,0.8750
244,7,easy,0.0625,0.1250,0.0625,0.3125
247,7,easy,0.5625,0.1875,0.1250,0.2500
249,7,easy,0.0625,0.1250,0.5625,0.1250
251,7,easy,0.0625,0.7500,0.1875,0.8125
263,7,easy,0.1875,0.6250,0.1250,0.4375
268,7,easy,0.0000,0.1875,0.1250,0.9375
276,7,easy,0.1250,0.0625,0.0625,0.1875
323,7,easy,0.0000,0.0625,0.0625,0.0000
329,7,easy,0.0000,0.0000,0.0000,0.1250
337,7,easy,0.1250,0.1875,0.3750,0.9375
348,7,easy,0.0000,0.1250,0.1875,0.3125
352,3,medium,0.0625,0.0625,0.0000,0.2917
353,3,medium,0.3542,0.6458,0.8125,0.6042
360,3,medium,0.2917,0.2292,0.3125,0.4167
