task_name,sonnet_base_status,sonnet_base_steps,sca_status,sca_steps
boil,failed,20,failed,14
change-the-state-of-matter-of,failed,9,failed,21
chemistry-mix,failed,35,success,27
chemistry-mix-paint-secondary-color,success,7,success,6
chemistry-mix-paint-tertiary-color,failed,5,timeout,50
find-animal,success,34,success,9
find-living-thing,success,10,success,7
find-non-living-thing,success,6,success,4
find-plant,success,10,success,9
freeze,failed,29,failed,14
grow-fruit,failed,39,failed,32
grow-plant,timeout,50,timeout,50
identify-life-stages-1,failed,19,failed,14
identify-life-stages-2,failed,9,success,6
inclined-plane-determine-angle,failed,31,success,8
inclined-plane-friction-named-surfaces,success,16,success,7
inclined-plane-friction-unnamed-surfaces,success,31,success,8
lifespan-longest-lived,success,8,success,4
lifespan-longest-lived-then-shortest-lived,success,9,success,7
lifespan-shortest-lived,success,7,success,3
measure-melting-point-known-substance,success,21,failed,19
measure-melting-point-unknown-substance,failed,20,failed,49
melt,failed,25,failed,14
mendelian-genetics-known-plant,failed,31,failed,5
mendelian-genetics-unknown-plant,failed,31,failed,7
power-component,success,15,success,13
power-component-renewable-vs-nonrenewable-energy,timeout,50,timeout,50
test-conductivity,success,37,success,4
test-conductivity-of-unknown-substances,timeout,50,success,11
use-thermometer,failed,4,success,25
